column,dtype,missing_values,missing_rate_%,unique_values
category,str,0,0.0,4
lat,float64,40952,4.35,88115
lon,float64,40952,4.35,91863
name,str,0,0.0,76523
city,str,464954,49.35,34693
country,str,1417,0.15,33
type,str,0,0.0,7
sector,str,936072,99.36,13
source_type,str,0,0.0,7
data_collection_method,str,32053,3.4,6
source_text,str,559,0.06,272
source_url,str,21821,2.32,322
dataset_id,int64,0,0.0,118
dataset_name,str,0,0.0,118
pfas_values,str,0,0.0,754222
unit,str,12642,1.34,4
pfas_sum,float64,12642,1.34,31013
details,str,0,0.0,205943
matrix,str,12642,1.34,14
date,str,23669,2.51,5726
year,float64,12642,1.34,40
